pl,vt,old,new
Sammy Sosa,David Borges,0,1
Larry Walker,David Lennon,0,0
Roger Clemens,David Lennon,1,1
Curt Schilling,David Lennon,1,1
Mike Piazza,David Lennon,1,1
Lee Smith,David Lennon,0,0
Barry Bonds,David Lennon,1,1
Jeff Kent,David Lennon,0,0
Edgar Martinez,David Lennon,0,1
Jeff Bagwell,David Lennon,1,1
Mark McGwire,David Lennon,0,0
Tim Raines,David Lennon,1,1
Nomar Garciaparra,David Lennon,0,0
Mike Mussina,David Lennon,0,1
Gary Sheffield,David Lennon,0,0
Fred McGriff,David Lennon,0,0
Alan Trammell,David Lennon,0,0
Sammy Sosa,David Lennon,0,0
Larry Walker,Derrick Goold,1,1
Roger Clemens,Derrick Goold,0,0
Curt Schilling,Derrick Goold,1,1
Mike Piazza,Derrick Goold,1,1
Lee Smith,Derrick Goold,0,0
Barry Bonds,Derrick Goold,0,0
Jeff Kent,Derrick Goold,0,0
Edgar Martinez,Derrick Goold,0,1
Jeff Bagwell,Derrick Goold,1,1
Mark McGwire,Derrick Goold,0,0
Tim Raines,Derrick Goold,1,1
Nomar Garciaparra,Derrick Goold,0,0
Mike Mussina,Derrick Goold,1,1
Gary Sheffield,Derrick Goold,0,0
Fred McGriff,Derrick Goold,0,0
Alan Trammell,Derrick Goold,0,1
Sammy Sosa,Derrick Goold,0,0
Larry Walker,Don Burke,0,0
Roger Clemens,Don Burke,0,0
Curt Schilling,Don Burke,0,0
Mike Piazza,Don Burke,1,1
Lee Smith,Don Burke,0,0
Barry Bonds,Don Burke,0,0
Jeff Kent,Don Burke,1,1
Edgar Martinez,Don Burke,1,1
Jeff Bagwell,Don Burke,1,1
Mark McGwire,Don Burke,0,0
Tim Raines,Don Burke,1,1
Nomar Garciaparra,Don Burke,0,0
Mike Mussina,Don Burke,0,0
Gary Sheffield,Don Burke,0,0
Fred McGriff,Don Burke,0,0
Alan Trammell,Don Burke,0,0
Sammy Sosa,Don Burke,0,0
Larry Walker,Ed Hilt,0,0
Roger Clemens,Ed Hilt,0,0
Curt Schilling,Ed Hilt,0,0
Mike Piazza,Ed Hilt,1,1
Lee Smith,Ed Hilt,1,1
Barry Bonds,Ed Hilt,0,0
Jeff Kent,Ed Hilt,0,0
Edgar Martinez,Ed Hilt,1,1
Jeff Bagwell,Ed Hilt,1,1
Mark McGwire,Ed Hilt,1,0
Tim Raines,Ed Hilt,1,1
Nomar Garciaparra,Ed Hilt,0,0
Mike Mussina,Ed Hilt,0,0
Gary Sheffield,Ed Hilt,0,0
Fred McGriff,Ed Hilt,0,1
Alan Trammell,Ed Hilt,0,0
Sammy Sosa,Ed Hilt,0,0
Larry Walker,Eric Nunez,0,0
Roger Clemens,Eric Nunez,1,1
Curt Schilling,Eric Nunez,0,1
Mike Piazza,Eric Nunez,1,1
Lee Smith,Eric Nunez,0,0
Barry Bonds,Eric Nunez,1,1
Jeff Kent,Eric Nunez,0,0
Edgar Martinez,Eric Nunez,0,1
Jeff Bagwell,Eric Nunez,1,1
Mark McGwire,Eric Nunez,0,0
Tim Raines,Eric Nunez,1,1
Nomar Garciaparra,Eric Nunez,0,0
Mike Mussina,Eric Nunez,1,1
Gary Sheffield,Eric Nunez,0,0
Fred McGriff,Eric Nunez,0,0
Alan Trammell,Eric Nunez,0,1
Sammy Sosa,Eric Nunez,0,0
Larry Walker,Evan Grant,1,1
Roger Clemens,Evan Grant,0,0
Curt Schilling,Evan Grant,0,1
Mike Piazza,Evan Grant,1,1
Lee Smith,Evan Grant,0,0
Barry Bonds,Evan Grant,0,0
Jeff Kent,Evan Grant,0,0
Edgar Martinez,Evan Grant,0,1
Jeff Bagwell,Evan Grant,1,1
Mark McGwire,Evan Grant,0,0
Tim Raines,Evan Grant,1,1
Nomar Garciaparra,Evan Grant,0,0
Mike Mussina,Evan Grant,1,1
Gary Sheffield,Evan Grant,0,0
Fred McGriff,Evan Grant,0,0
Alan Trammell,Evan Grant,1,1
Sammy Sosa,Evan Grant,0,0
Larry Walker,Gabe Lacques,0,1
Roger Clemens,Gabe Lacques,1,1
Curt Schilling,Gabe Lacques,0,0
Mike Piazza,Gabe Lacques,1,1
Lee Smith,Gabe Lacques,0,0
Barry Bonds,Gabe Lacques,1,1
Jeff Kent,Gabe Lacques,0,0
Edgar Martinez,Gabe Lacques,0,0
Jeff Bagwell,Gabe Lacques,0,1
Mark McGwire,Gabe Lacques,0,0
Tim Raines,Gabe Lacques,1,1
Nomar Garciaparra,Gabe Lacques,0,0
Mike Mussina,Gabe Lacques,0,0
Gary Sheffield,Gabe Lacques,1,1
Fred McGriff,Gabe Lacques,0,0
Alan Trammell,Gabe Lacques,1,1
Sammy Sosa,Gabe Lacques,0,0
Larry Walker,Garry Brown,0,0
Roger Clemens,Garry Brown,0,0
Curt Schilling,Garry Brown,0,1
Mike Piazza,Garry Brown,1,1
Lee Smith,Garry Brown,0,0
Barry Bonds,Garry Brown,0,0
Jeff Kent,Garry Brown,0,0
Edgar Martinez,Garry Brown,1,1
Jeff Bagwell,Garry Brown,1,1
Mark McGwire,Garry Brown,0,0
Tim Raines,Garry Brown,1,1
Nomar Garciaparra,Garry Brown,0,0
Mike Mussina,Garry Brown,0,0
Gary Sheffield,Garry Brown,0,0
Fred McGriff,Garry Brown,0,0
Alan Trammell,Garry Brown,0,0
Sammy Sosa,Garry Brown,0,0
Larry Walker,Garry D Howard,0,0
Roger Clemens,Garry D Howard,1,1
Curt Schilling,Garry D Howard,0,1
Mike Piazza,Garry D Howard,1,1
Lee Smith,Garry D Howard,0,1
Barry Bonds,Garry D Howard,1,1
Jeff Kent,Garry D Howard,0,0
Edgar Martinez,Garry D Howard,0,0
Jeff Bagwell,Garry D Howard,0,1
Mark McGwire,Garry D Howard,1,0
Tim Raines,Garry D Howard,0,1
Nomar Garciaparra,Garry D Howard,0,0
Mike Mussina,Garry D Howard,1,0
Gary Sheffield,Garry D Howard,1,1
Fred McGriff,Garry D Howard,0,0
Alan Trammell,Garry D Howard,0,0
Sammy Sosa,Garry D Howard,0,0
Larry Walker,Hal Bodley,0,0
Roger Clemens,Hal Bodley,0,0
Curt Schilling,Hal Bodley,0,0
Mike Piazza,Hal Bodley,0,1
Lee Smith,Hal Bodley,0,0
Barry Bonds,Hal Bodley,0,0
Jeff Kent,Hal Bodley,0,0
Edgar Martinez,Hal Bodley,0,0
Jeff Bagwell,Hal Bodley,0,0
Mark McGwire,Hal Bodley,0,0
Tim Raines,Hal Bodley,0,0
Nomar Garciaparra,Hal Bodley,0,0
Mike Mussina,Hal Bodley,0,0
Gary Sheffield,Hal Bodley,0,0
Fred McGriff,Hal Bodley,1,1
Alan Trammell,Hal Bodley,0,0
Sammy Sosa,Hal Bodley,0,0
Larry Walker,Howard Bryant,0,0
Roger Clemens,Howard Bryant,0,0
Curt Schilling,Howard Bryant,0,0
Mike Piazza,Howard Bryant,0,0
Lee Smith,Howard Bryant,0,0
Barry Bonds,Howard Bryant,0,0
Jeff Kent,Howard Bryant,0,0
Edgar Martinez,Howard Bryant,0,0
Jeff Bagwell,Howard Bryant,0,0
Mark McGwire,Howard Bryant,0,0
Tim Raines,Howard Bryant,1,1
Nomar Garciaparra,Howard Bryant,0,0
Mike Mussina,Howard Bryant,0,1
Gary Sheffield,Howard Bryant,0,0
Fred McGriff,Howard Bryant,0,1
Alan Trammell,Howard Bryant,0,0
Sammy Sosa,Howard Bryant,0,0
Larry Walker,Ian OConnor,0,0
Roger Clemens,Ian OConnor,1,1
Curt Schilling,Ian OConnor,1,1
Mike Piazza,Ian OConnor,1,1
Lee Smith,Ian OConnor,0,1
Barry Bonds,Ian OConnor,1,1
Jeff Kent,Ian OConnor,0,0
Edgar Martinez,Ian OConnor,0,0
Jeff Bagwell,Ian OConnor,1,1
Mark McGwire,Ian OConnor,0,0
Tim Raines,Ian OConnor,1,1
Nomar Garciaparra,Ian OConnor,0,0
Mike Mussina,Ian OConnor,0,1
Gary Sheffield,Ian OConnor,0,0
Fred McGriff,Ian OConnor,0,0
Alan Trammell,Ian OConnor,0,0
Sammy Sosa,Ian OConnor,0,0
Larry Walker,Jack Curry,0,1
Roger Clemens,Jack Curry,0,0
