idx,rank,player,war
7,57,Rube Waddell,51.5
7,58,Roy Halladay,51.3
7,59,Dazzy Vance,51.2
7,60,Joe DiMaggio,50.9
7,61,Bert Blyleven,50.9
7,62,Arky Vaughan,50.6
7,63,Eddie Plank,50.5
7,64,Charlie Gehringer,50.5
7,65,Duke Snider,50.0
7,66,Curt Schilling,49.8
7,67,Rod Carew,49.7
7,68,Jim Bunning,49.6
7,69,Sandy Koufax,49.2
7,70,Chase Utley,49.1
7,71,Adrian Beltre,48.8
7,72,Al Kaline,48.8
7,73,Johnny Mize,48.8
7,74,Lou Boudreau,48.7
7,75,George Sisler,48.3
7,76,Gary Carter,48.2
7,77,Jeff Bagwell,48.2
7,78,Jim Palmer,48.0
7,79,Clayton Kershaw,47.9
7,80,Hank Greenberg,47.7
7,81,Robinson Cano,47.5
7,82,Carl Hubbell,47.4
7,83,Robin Yount,47.2
7,84,Wilbur Wood,47.1
7,85,Harry Heilmann,47.1
7,86,Johnny Bench,47.1
7,87,Frank Baker,46.8
7,88,Ryne Sandberg,46.8
7,89,Reggie Jackson,46.8
7,90,Kevin Brown,46.7
7,91,Chipper Jones,46.6
7,92,Nap Rucker,46.6
7,93,Andruw Jones,46.4
7,94,Todd Helton,46.4
7,95,Joe McGinnity,46.3
7,96,Bobby Grich,46.3
7,97,Ken Boyer,46.3
7,98,Dick Allen,45.9
7,99,Joe Gordon,45.8
7,100,Brooks Robinson,45.8
8,1,Walter Johnson,100.2
8,2,Babe Ruth,95.3
8,3,Rogers Hornsby,83.1
8,4,Willie Mays,82.7
8,5,Barry Bonds,81.7
8,6,Ted Williams,77.0
8,7,Pete Alexander,76.9
8,8,Ty Cobb,76.4
8,9,Lou Gehrig,75.6
8,10,Christy Mathewson,74.4
8,11,Roger Clemens,74.3
8,12,Lefty Grove,73.9
8,13,Honus Wagner,73.0
8,14,Alex Rodriguez,72.5
8,15,Stan Musial,71.9
8,16,Eddie Collins,71.3
8,17,Mickey Mantle,71.2
