idx,rank,player,playerid,war
4,116,Luis Tiant,tiantlu01,29.2
4,117,Cliff Lee,leecl02,29.1
4,118,Jim Palmer,palmeji01,29.1
4,119,Urban Shocker,shockur01,29.0
4,120,Kevin Appier,appieke01,29.0
4,121,Andre Dawson,dawsoan01,29.0
4,122,Hippo Vaughn,vaughhi01,28.9
4,123,Bobby Grich,grichbo01,28.9
4,124,Chipper Jones,jonesch06,28.8
4,125,Evan Longoria,longoev01,28.8
4,126,Burleigh Grimes,grimebu01,28.7
4,127,Joe Cronin,cronijo01,28.7
4,128,Babe Adams,adamsba01,28.7
4,129,Frank Viola,violafr01,28.6
4,130,Ken Boyer,boyerke01,28.6
4,131,Dizzy Trout,troutdi01,28.6
4,132,Sam McDowell,mcdowsa01,28.5
4,133,Joe Gordon,gordojo01,28.5
4,134,Miguel Cabrera,cabremi01,28.4
4,135,Carlos Beltran,beltrca01,28.4
4,136,Mark Langston,langsma01,28.3
4,137,Ichiro Suzuki,suzukic01,28.3
4,138,Orel Hershiser,hershor01,28.2
4,139,Mike Piazza,piazzmi01,28.2
4,140,Sammy Sosa,sosasa01,28.1
4,141,Scott Rolen,rolensc01,28.1
4,142,Willie McCovey,mccovwi01,28.1
4,143,David Wright,wrighda03,28.0
4,144,Frank Tanana,tananfr01,28.0
4,145,Mike Mussina,mussimi01,28.0
4,146,Ben Zobrist,zobribe01,28.0
4,147,Vida Blue,bluevi01,27.9
4,148,Nolan Ryan,ryanno01,27.9
4,149,Alan Trammell,trammal01,27.8
4,150,Don Drysdale,drysddo01,27.8
5,1,Walter Johnson,johnswa01,67.3
5,2,Babe Ruth,ruthba01,62.9
5,3,Pete Alexander,alexape01,54.1
5,4,Willie Mays,mayswi01,54.0
5,5,Barry Bonds,bondsba01,53.9
5,6,Rogers Hornsby,hornsro01,53.6
5,7,Ty Cobb,cobbty01,51.8
5,8,Ted Williams,willite01,51.6
5,9,Mickey Mantle,mantlmi01,51.2
5,10,Cy Young,youngcy01,51.1
5,11,Ed Walsh,walshed01,50.9
5,12,Christy Mathewson,mathech01,50.7
5,13,Lou Gehrig,gehrilo01,50.2
5,14,Roger Clemens,clemero02,49.9
5,15,Lefty Grove,grovele01,49.7
5,16,Honus Wagner,wagneho01,49.1
5,17,Bob Gibson,gibsobo01,48.7
5,18,Joe Morgan,morgajo02,47.7
5,19,Stan Musial,musiast01,47.6
5,20,Eddie Collins,collied01,47.5
5,21,Randy Johnson,johnsra05,47.4
5,22,Alex Rodriguez,rodrial01,47.3
5,23,Tris Speaker,speaktr01,46.1
5,24,Tom Seaver,seaveto01,45.9
5,25,Pedro Martinez,martipe02,45.7
5,26,Jimmie Foxx,foxxji01,44.8
5,27,Nap Lajoie,lajoina01,44.8
5,28,Albert Pujols,pujolal01,44.8
5,29,Carl Yastrzemski,yastrca01,44.5
5,30,Rube Waddell,wadderu01,44.5
5,31,Rickey Henderson,henderi01,44.1
5,32,Hank Aaron,aaronha01,44.1
5,33,Cal Ripken,ripkeca01,43.8
